PRODUCT.ID,PRODUCT.NAME,PRODUCT.IMAGES,PRODUCT.DESCRIPTION,PRODUCT.SKU,PRODUCT.MIN.MAX.QUANTITY,PRODUCT.PRICE.SELLING,PRODUCT.STATUS,PRODUCT.INVENTORY,PRODUCT.CATEGORY,PRODUCT.PRICE.COST,PRODUCT.TAGS,PRODUCT.PRICE.COMPARE,PRODUCT.TAX_PERCENT,PRODUCT.LABELS
"","Ram 6 x Piece Screwdriver Sl/Ph Set (4 Slotted 2 Ph) RAM0075","https://dam-assets.apps.travisperkins.group/Mb2N8/GPID_1010013665_IMG_00.jpg","Screwdriver Set","935330","1,4",12.02,"ACTIVE",4,"test",10.45
"","Blue Circle Extra Rapid Fast Set Cement 25kg","https://dam-assets.apps.travisperkins.group/v448ky0/GPID_1000267032_IMG_00.png","A Portland cement containing calcium aluminate to Extra Rapid gives rapid hardening and setting properties for repair and maintenance where rapid hardening is required, eg, setting manholes, repairs to paths and steps, Suitable for concrete, mortar, rendering and floor screeds. Extra Rapid takes foot traffic in 4-6 hours and vehicular traffic in 8-12 hours.","847023","1,170",24.21,"ACTIVE",170,"test",21.05
"","Bahco 1/4 + 3/8 Square Drive Socket Set 33 Piece BAHS330","https://dam-assets.apps.travisperkins.group/ZLb9p/GPID_1000141930_IMG_00.jpg","This well made and thought out 34 pieces socket set from Bahco has a variety of the popular sized bits and sockets. The ratchet, screwdriver and extension bars add to this sets versatility. Comes in a sturdy impact and oil resistant carry case for storage.","188840","1,2",68.37,"ACTIVE",2,"test",59.45
"","4Trade Woven Roller Set Pack 2","https://dam-assets.apps.travisperkins.group/7PxZX/GPID_1000573381_IMG_00.jpeg","4Trade woven roller can be used for a flawless finish","709622","1,9",9.57,"ACTIVE",9,"test",8.32
"","Whitewood Door Lining Set and Stops 32 x 138mm 762/838mm Doors Finished size 27.5 x 132mm","https://dam-assets.apps.travisperkins.group/1z1wE/GPID_1000190545_IMG_00.jpeg","Metsä Woods Softwood door linings are manufactured from slow-grown premium timber, which has been precision finished and fully machined.
The main purpose of a casing or lining set is to surround all internal doors, allowing for easy installation of doors.","966984","1,29",49.24,"ACTIVE",29,"test",42.82
"","Whitewood Door Lining Set and Stops 32 x 115mm 762/838mm Doors Finished size 27.5 x 108mm","https://dam-assets.apps.travisperkins.group/nmpvx/GPID_1000190544_IMG_00.jpeg","Metsä Woods Softwood door linings are manufactured from slow-grown premium timber, which has been precision finished and fully machined.
The main purpose of a casing or lining set is to surround all internal doors, allowing for easy installation of doors.","966983","1,37",43.86,"ACTIVE",37,"test",38.14
"","Whitewood Door Lining and Stops 32 x 115mm 686/762mm Doors Finished size 27.5 x 108mm","https://dam-assets.apps.travisperkins.group/dXppr/GPID_1000130278_IMG_00.jpeg","Metsä Woods Softwood door linings are manufactured from slow-grown premium timber, which has been precision finished and fully machined.
The main purpose of a casing or lining set is to surround all internal doors, allowing for easy installation of doors.","808519","1,22",43.86,"ACTIVE",22,"test",38.14
"","Ram Set of Three Bevel Edge Chisels & Case RAM0146","https://dam-assets.apps.travisperkins.group/MNWDg/GPID_1000624206_IMG_00.jpg","Bevel Edge Chisel Set","935452","1,4",15.03,"ACTIVE",4,"test",13.07
"","Bosch HSS-pointteq Drill 3.5mm 2PC Set 2608577160","https://dam-assets.apps.travisperkins.group/v6wn41w/GPID_1000469279_IMG_00.jpg","The HSS Twist Drill Bit offers solid drilling for standard jobs, such as drilling holes through metal. The low-heat-shaping manufacturing process results in high elasticity and a low risk of breakage, especially when drilling holes with diameters smaller than 6 mm.","523042","1,10",2.63,"ACTIVE",10,"test",2.29
"","STANLEY® DYNAGRIP® Nail Punch Set of 3","https://dam-assets.apps.travisperkins.group/xkg1jmz/GPID_1000395786_IMG_00.png","Stanley multicolour nail punch set of 3, with long reach and good grip.","893297","1,2",14.01,"ACTIVE",2,"test",12.18
